example_id                                                       | status | run_time        |
./spec/models/user_spec.rb[1:1:1]                                | passed | 0.80776 seconds |
./spec/models/user_spec.rb[1:1:2]                                | passed | 0.82499 seconds |
./spec/models/user_spec.rb[1:1:3]                                | passed | 0.83855 seconds |
./spec/models/user_spec.rb[1:1:4]                                | passed | 0.8491 seconds  |
./spec/models/user_spec.rb[1:1:5]                                | passed | 0.84062 seconds |
./spec/models/user_spec.rb[1:1:6]                                | passed | 0.82455 seconds |
./spec/models/user_spec.rb[1:1:7]                                | passed | 0.84495 seconds |
./spec/models/user_spec.rb[1:1:8]                                | passed | 0.82683 seconds |
./spec/models/user_spec.rb[1:1:9]                                | passed | 0.8214 seconds  |
./spec/models/user_spec.rb[1:2:1]                                | passed | 0.80563 seconds |
./spec/models/user_spec.rb[1:2:2]                                | passed | 0.78878 seconds |
./spec/models/user_spec.rb[1:2:3]                                | passed | 0.82269 seconds |
./spec/models/user_spec.rb[1:2:4]                                | passed | 0.81936 seconds |
./spec/models/user_spec.rb[1:2:5]                                | passed | 0.81885 seconds |
./spec/models/user_spec.rb[1:2:6]                                | passed | 0.82062 seconds |
./spec/models/user_spec.rb[1:2:7]                                | passed | 0.7978 seconds  |
./spec/models/user_spec.rb[1:3:1]                                | passed | 0.93409 seconds |
./spec/models/user_spec.rb[1:3:2]                                | passed | 1.02 seconds    |
./spec/models/user_spec.rb[1:3:3]                                | passed | 1.02 seconds    |
./spec/models/user_spec.rb[1:3:4]                                | passed | 0.98583 seconds |
./spec/models/user_spec.rb[1:3:5]                                | passed | 0.97775 seconds |
./spec/models/user_spec.rb[1:4:1]                                | passed | 1.04 seconds    |
./spec/models/user_spec.rb[1:5:1]                                | passed | 0.84638 seconds |
./spec/models/user_spec.rb[1:6:1]                                | passed | 0.83306 seconds |
./spec/models/user_spec.rb[1:6:2]                                | passed | 0.8331 seconds  |
./spec/requests/comments_spec.rb[1:1:1:1]                        | passed | 1.12 seconds    |
./spec/requests/comments_spec.rb[1:1:2:1]                        | passed | 1.13 seconds    |
./spec/requests/comments_spec.rb[1:1:2:2]                        | passed | 1.11 seconds    |
./spec/requests/comments_spec.rb[1:2:1:1]                        | passed | 1.14 seconds    |
./spec/requests/comments_spec.rb[1:2:2:1]                        | passed | 1.12 seconds    |
./spec/requests/comments_spec.rb[1:2:3:1]                        | passed | 1.19 seconds    |
./spec/requests/comments_spec.rb[1:2:4:1]                        | passed | 1.15 seconds    |
./spec/requests/comments_spec.rb[1:3:1:1]                        | passed | 1.09 seconds    |
./spec/requests/comments_spec.rb[1:3:2:1]                        | passed | 1.09 seconds    |
./spec/requests/comments_spec.rb[1:3:3:1]                        | passed | 1.2 seconds     |
